organism,count
"gi|2363085784|ref|NR_181144.1| Sediminibacterium soli strain WSJ-3 16S ribosomal RNA, partial sequence",59
"gi|219878237|ref|NR_025376.1| Comamonas nitrativorans strain 23310 16S ribosomal RNA, partial sequence",59
"gi|1384992270|ref|NR_156018.1| Endomicrobium proavitum strain Rsa215 16S ribosomal RNA, complete sequence",54
"gi|444304218|ref|NR_074643.1| Ramlibacter tataouinensis TTB310 16S ribosomal RNA, partial sequence",53
"gi|2363087357|ref|NR_181935.1| Streptococcus oriscaviae strain HKU75 16S ribosomal RNA, complete sequence",53
"gi|2363086454|ref|NR_181481.1| Streptococcus oriscaviae strain HKU75 16S ribosomal RNA, partial sequence",53
"gi|558508598|ref|NR_104525.1| Nevskia terrae strain KIS13-15 16S ribosomal RNA, partial sequence",53
"gi|343199001|ref|NR_044283.1| Caldimicrobium rimae strain DS 16S ribosomal RNA, partial sequence",52
"gi|2363081939|ref|NR_179215.1| Streptococcus parasuis strain SUT-286 16S ribosomal RNA, partial sequence",52
"gi|343201449|ref|NR_042175.1| Solimonas variicoloris DSM 15731 strain MN28 16S ribosomal RNA, partial sequence",51
"gi|265678979|ref|NR_029287.1| Nitrospira moscoviensis strain NSP M-1 16S ribosomal RNA, partial sequence",51
"gi|343205721|ref|NR_044123.1| Solimonas flava DSM 18980 strain CW-KD 4 16S ribosomal RNA, partial sequence",50
"gi|1227086018|ref|NR_148573.1| Nitrospira lenta strain BS10 16S ribosomal RNA, partial sequence",50
"gi|631251811|ref|NR_113009.1| Armatimonas rosea strain YO-36 16S ribosomal RNA, partial sequence",49
"gi|310975182|ref|NR_037046.1| Staphylococcus ureilyticus strain CK27 16S ribosomal RNA, partial sequence",48
"gi|219856845|ref|NR_024664.1| Staphylococcus arlettae strain ATCC 43957 16S ribosomal RNA, partial sequence",48
"gi|1315203998|ref|NR_152667.1| Sediminibacterium aquarii strain AA5 16S ribosomal RNA, partial sequence",48
"gi|631253117|ref|NR_114315.1| Blautia luti DSM 14534 = JCM 17040 16S ribosomal RNA, partial sequence",48
"gi|848212600|ref|NR_132297.1| Sediminibacterium lactis strain LCJ02 16S ribosomal RNA, partial sequence",47
"gi|1491509599|ref|NR_159130.1| Sediminibacterium roseum strain SYL130 16S ribosomal RNA, partial sequence",45
"gi|343205731|ref|NR_044135.1| Nevskia soli strain GR15-1 16S ribosomal RNA, partial sequence",45
"gi|343204052|ref|NR_043735.1| Pseudogemmobacter blasticus strain KC2138 16S ribosomal RNA, partial sequence",44
"gi|631253075|ref|NR_114273.1| Lacibacter cauensis strain NBRC 104930 16S ribosomal RNA, partial sequence",42
"gi|2363082673|ref|NR_179584.1| Blautia phocaeensis strain Marseille-P3441 16S ribosomal RNA, partial sequence",42
"gi|1953646554|ref|NR_171435.1| Zhongshania marina strain DSW25-10 16S ribosomal RNA, partial sequence",42
"gi|2363083640|ref|NR_180068.1| Lacibacter luteus strain TTM-7 16S ribosomal RNA, partial sequence",41
"gi|631253128|ref|NR_114326.1| Fusicatenibacter saccharivorans strain HT03-11 16S ribosomal RNA, partial sequence",41
"gi|645321086|ref|NR_118138.1| Gaiella occulta strain F2-233 16S ribosomal RNA, partial sequence",41
"gi|444304091|ref|NR_074515.1| Phocaeicola vulgatus ATCC 8482 16S ribosomal RNA, partial sequence",40
"gi|1137647860|ref|NR_145649.1| Undibacterium aquatile strain THG-DN7.3 16S ribosomal RNA, partial sequence",40
"gi|2180566501|ref|NR_174339.1| Falsiroseomonas bella strain CQN31 16S ribosomal RNA, complete sequence",40
"gi|265678380|ref|NR_028682.1| Granulicatella elegans strain B1333 16S ribosomal RNA, partial sequence",39
"gi|219846272|ref|NR_025862.1| Granulicatella adiacens strain GIFU 12706 16S ribosomal RNA, partial sequence",39
"gi|2363082685|ref|NR_179590.1| Blautia provencensis strain Marseille-P3502 16S ribosomal RNA, partial sequence",39
"gi|2363082272|ref|NR_179383.1| Streptococcus vulneris strain DM3B3 16S ribosomal RNA, complete sequence",39
"gi|2363085326|ref|NR_180911.1| Fundicoccus ignavus strain DSM 109652 16S ribosomal RNA, partial sequence",38
"gi|2221405526|ref|NR_175564.1| Rhodoferax aquaticus strain personal::Gr-4 16S ribosomal RNA, partial sequence",38
"gi|602270678|ref|NR_028800.2| Cupriavidus taiwanensis LMG 19424 16S ribosomal RNA, partial sequence",38
"gi|631253198|ref|NR_114396.1| Nitrospira japonica strain J1 16S ribosomal RNA, partial sequence",38
"gi|2363082924|ref|NR_179710.1| Brevundimonas mongoliensis strain R-10-10 16S ribosomal RNA, partial sequence",38
"gi|444439445|ref|NR_074760.1| Rhodoferax ferrireducens T118 16S ribosomal RNA, partial sequence",37
"gi|645320536|ref|NR_117719.1| Streptococcus oralis subsp. dentisani strain 7747 16S ribosomal RNA, partial sequence",37
"gi|444439489|ref|NR_074804.1| Cellvibrio japonicus strain Ueda107 16S ribosomal RNA, partial sequence",36
"gi|636559945|ref|NR_116005.1| Reyranella massiliensis 521 16S ribosomal RNA, partial sequence",36
"gi|265678353|ref|NR_028655.1| Curvibacter gracilis strain 7-1 16S ribosomal RNA, partial sequence",34
"gi|672238947|ref|NR_125536.1| Rhodoferax saidenbachensis strain ED16 16S ribosomal RNA, partial sequence",34
"gi|2363080033|ref|NR_178233.1| Polaromonas ginsengisoli strain Gsoil 115 16S ribosomal RNA, partial sequence",33
"gi|219846367|ref|NR_025958.1| Polaromonas vacuolata strain 34-P 16S ribosomal RNA, partial sequence",33
"gi|631251748|ref|NR_112946.1| Phocaeicola vulgatus strain JCM 5826 16S ribosomal RNA, partial sequence",33
"gi|2221405293|ref|NR_175460.1| Paraburkholderia silviterrae strain personal::4 M-K11 16S ribosomal RNA, partial sequence",33
"gi|310975038|ref|NR_036902.1| Staphylococcus cohnii strain GH 137 16S ribosomal RNA, partial sequence",33
"gi|265678532|ref|NR_028836.1| Cellvibrio japonicus strain Ueda107 16S ribosomal RNA, partial sequence",33
"gi|2363081891|ref|NR_179191.1| Tepidimonas arfidensis strain JCM 13232 16S ribosomal RNA, partial sequence",33
"gi|699005311|ref|NR_126180.1| Reyranella graminifolii strain Wo-34 16S ribosomal RNA, partial sequence",33
"gi|566085594|ref|NR_109674.1| Reyranella soli strain KIS14-15 16S ribosomal RNA, partial sequence",33
"gi|219846241|ref|NR_025831.1| Brevundimonas bullata strain IAM 13153 16S ribosomal RNA, partial sequence",33
"gi|1246951763|ref|NR_149767.1| Polaromonas eurypsychrophila strain B717-2 16S ribosomal RNA, partial sequence",32
"gi|566084872|ref|NR_108321.1| Gemmobacter caeni strain DCA-1 16S ribosomal RNA, partial sequence",32
"gi|1445136045|ref|NR_158085.1| Parapedobacter lycopersici strain T16R-256 16S ribosomal RNA, partial sequence",32
"gi|343200664|ref|NR_041351.1| Phocaeicola dorei strain 175 16S ribosomal RNA, partial sequence",31
"gi|2363085720|ref|NR_181112.1| Solimonas marina strain C16B3 16S ribosomal RNA, partial sequence",31
"gi|559795150|ref|NR_104737.1| Eubacterium oxidoreducens strain G41 16S ribosomal RNA, partial sequence",31
"gi|636559893|ref|NR_115953.1| Priestia aryabhattai B8W22 16S ribosomal RNA, partial sequence",31
"gi|645320214|ref|NR_117473.1| Priestia megaterium strain ATCC 14581 16S ribosomal RNA, partial sequence",31
"gi|2363081977|ref|NR_179235.1| Capsulimonas corticalis strain AX-7 16S ribosomal RNA, partial sequence",31
"gi|2296162966|ref|NR_177915.1| Ramsaria avicennae 16S ribosomal RNA, complete sequence",30
"gi|659364859|ref|NR_121745.1| Gloeobacter kilaueensis JS1 16S ribosomal RNA, complete sequence",30
"gi|1491514511|ref|NR_159166.1| Ramlibacter monticola strain G-3-2 16S ribosomal RNA, partial sequence",30
"gi|566085463|ref|NR_109514.1| Tepidimonas fonticaldi strain AT-A2 16S ribosomal RNA, partial sequence",30
"gi|219846165|ref|NR_025755.1| Tepidimonas aquatica strain CLN-1 16S ribosomal RNA, partial sequence",30
"gi|1953646657|ref|NR_171483.1| Flavisolibacter nicotianae strain X7X 16S ribosomal RNA, partial sequence",30
"gi|1779814859|ref|NR_164934.1| Cupriavidus lacunae strain S23 16S ribosomal RNA, partial sequence",30
"gi|943392601|ref|NR_117138.2| Anaerostipes hadrus strain DSM 3319 16S ribosomal RNA, partial sequence",30
"gi|943392602|ref|NR_117139.2| Anaerostipes hadrus strain DSM 3319 16S ribosomal RNA, partial sequence",30
"gi|2296162967|ref|NR_177916.1| Ramsaria avicennae 16S ribosomal RNA, partial sequence",29
"gi|631250882|ref|NR_112078.1| Brevundimonas vesicularis strain IAM 12105 16S ribosomal RNA, partial sequence",29
"gi|265678331|ref|NR_028633.1| Brevundimonas nasdae strain W1-2B 16S ribosomal RNA, partial sequence",29
"gi|343200245|ref|NR_040932.1| Alysiella crassa strain IAM 14969 16S ribosomal RNA, partial sequence",29
"gi|2363085718|ref|NR_181111.1| Stenotrophomonas nematodicola strain W5 16S ribosomal RNA, partial sequence",29
"gi|659364814|ref|NR_121739.1| Stenotrophomonas rhizophila strain e-p10 16S ribosomal RNA, partial sequence",29
"gi|566085547|ref|NR_109617.1| Nevskia persephonica strain G6M-30 16S ribosomal RNA, partial sequence",28
"gi|1137647857|ref|NR_145646.1| Falsiroseomonas wooponensis strain WW53 16S ribosomal RNA, partial sequence",28
"gi|1146059145|ref|NR_145877.1| Sphingobacterium suaedae strain T47 16S ribosomal RNA, partial sequence",28
"gi|1491509600|ref|NR_159131.1| Parapedobacter defluvii strain WY-1 16S ribosomal RNA, partial sequence",28
"gi|2363081194|ref|NR_178840.1| Blautia pseudococcoides strain YL58 16S ribosomal RNA, partial sequence",27
"gi|2221405394|ref|NR_175506.1| Ramlibacter algicola strain CrO1 16S ribosomal RNA, partial sequence",27
"gi|2463901786|ref|NR_184612.1| Capillimicrobium parvum strain 0166_1 16S ribosomal RNA, partial sequence",27
"gi|2363085085|ref|NR_180791.1| Caenimonas soli strain S4 16S ribosomal RNA, partial sequence",27
"gi|1776910886|ref|NR_164619.1| Acidibrevibacterium fodinaquatile strain G45-3 16S ribosomal RNA, partial sequence",27
"gi|559795210|ref|NR_104799.1| Anaerostipes hadrus strain DSM 3319 16S ribosomal RNA, partial sequence",27
"gi|2363081154|ref|NR_178820.1| Acetobacter oryzifermentans strain SLV-7 16S ribosomal RNA, partial sequence",26
"gi|2363084280|ref|NR_180390.1| Acetobacter oryzoeni strain B6 16S ribosomal RNA, partial sequence",26
"gi|470466352|ref|NR_074116.1| Dehalococcoides mccartyi 195 16S ribosomal RNA, partial sequence",26
"gi|636560813|ref|NR_116873.1| Priestia megaterium strain ATCC 14581 16S ribosomal RNA, partial sequence",25
"gi|2621112289|ref|NR_189192.1| Vulcanimicrobium alpinum strain WC8-2 16S ribosomal RNA, partial sequence",25
"gi|566085546|ref|NR_109616.1| Nevskia aquatilis strain F2-63 16S ribosomal RNA, partial sequence",25
"gi|343198950|ref|NR_044119.1| Parapedobacter soli strain DCY14 16S ribosomal RNA, partial sequence",25
"gi|2221405274|ref|NR_175455.1| Streptococcus downii 16S ribosomal RNA, partial sequence",24
"gi|343200118|ref|NR_040805.1| Brevundimonas diminuta ATCC 11568 16S ribosomal RNA, partial sequence",24
"gi|343198520|ref|NR_042776.1| Streptococcus salivarius strain ATCC 7073 16S ribosomal RNA, partial sequence",23
"gi|219846515|ref|NR_026107.1| Acetobacter pasteurianus strain LMD 22.1 16S ribosomal RNA, partial sequence",23
"gi|343201281|ref|NR_042007.1| Roseburia inulinivorans DSM 16841 strain A2-194 16S ribosomal RNA, partial sequence",23
"gi|566085207|ref|NR_109018.1| Catenulispora graminis strain BR-34 16S ribosomal RNA, partial sequence",23
"gi|645320125|ref|NR_117406.1| Stenotrophomonas panacihumi strain MK06 16S ribosomal RNA, partial sequence",23
"gi|2962412350|ref|NR_199545.1| Streptococcus mitis subsp. carlssonii strain SK608 16S ribosomal RNA, partial sequence",22
"gi|566085322|ref|NR_109321.1| Olivibacter jilunii strain 14-2A 16S ribosomal RNA, partial sequence",22
"gi|2363086218|ref|NR_181361.1| Undibacterium rugosum strain CY7W 16S ribosomal RNA, partial sequence",22
"gi|2296162957|ref|NR_177906.1| Pseudoaliinostoc tiwarii 16S ribosomal RNA, partial sequence",22
"gi|444439494|ref|NR_074809.1| Roseburia hominis A2-183 16S ribosomal RNA, partial sequence",21
"gi|2363082262|ref|NR_179378.1| Fundicoccus fermenti strain F-1 16S ribosomal RNA, partial sequence",21
"gi|2180566390|ref|NR_174253.1| Azohydromonas sediminis strain SYSU G00088 16S ribosomal RNA, partial sequence",21
"gi|1040567021|ref|NR_137370.1| Jatrophihabitans fulvus strain PB158 16S ribosomal RNA, partial sequence",20
"gi|343198925|ref|NR_044049.1| Coprococcus eutactus strain ATCC 27759 16S ribosomal RNA, partial sequence",20
"gi|961555151|ref|NR_134120.1| Paludibaculum fermentans strain P105 16S ribosomal RNA, partial sequence",20
"gi|343200300|ref|NR_040987.1| Cupriavidus pinatubonensis strain 1245 16S ribosomal RNA, partial sequence",20
"gi|631251365|ref|NR_112562.1| Variovorax ginsengisoli strain Gsoil 3165 16S ribosomal RNA, partial sequence",20
"gi|1179766749|ref|NR_146699.1| Microbacterium gilvum strain YIM 100951 16S ribosomal RNA, partial sequence",19
"gi|219857155|ref|NR_024783.1| Arthrobacter russicus strain A1-3 16S ribosomal RNA, partial sequence",19
"gi|343201086|ref|NR_041773.1| Renibacterium salmoninarum strain ATCC 33209 16S ribosomal RNA, partial sequence >gi|470467876|ref|NR_074198.1| Renibacterium salmoninarum 16S ribosomal RNA, partial sequence",19
"gi|343198521|ref|NR_042777.1| Streptococcus vestibularis ATCC 49124 16S ribosomal RNA, partial sequence",19
"gi|2836274932|ref|NR_197695.1| Streptococcus raffinosi strain VTCC 12812 16S ribosomal RNA, partial sequence",19
"gi|566085516|ref|NR_109586.1| Jatrophihabitans endophyticus strain S9-650 16S ribosomal RNA, partial sequence",19
"gi|2363083601|ref|NR_180048.1| Lacrimispora amygdalina strain PI-S10-A1B 16S ribosomal RNA, partial sequence",19
"gi|1270541310|ref|NR_074708.2| Gemmatimonas aurantiaca T-27 16S ribosomal RNA, partial sequence",19
"gi|1445136080|ref|NR_158120.1| Hydrogenophaga aquatica strain CC-KL-3 16S ribosomal RNA, partial sequence",19
"gi|2962412244|ref|NR_199438.1| Cupriavidus phytorum strain MLR2-44 16S ribosomal RNA, complete sequence",19
"gi|2363084936|ref|NR_180716.1| Tepidiforma bonchosmolovskayae strain 3753O 16S ribosomal RNA, partial sequence",19
"gi|1520188677|ref|NR_159897.1| Flavisolibacter metallilatus strain TX0661 16S ribosomal RNA, partial sequence",19
"gi|1779814905|ref|NR_164980.1| Flavisolibacter galbus strain 17J28-26 16S ribosomal RNA, partial sequence",19
"gi|343200925|ref|NR_041612.1| Catenulispora subtropica strain TT 99-48 16S ribosomal RNA, partial sequence",19
"gi|2363082607|ref|NR_179550.1| Khoudiadiopia massiliensis strain Marseille-P2746 16S ribosomal RNA, partial sequence",19
"gi|2363085864|ref|NR_181184.1| Brevundimonas huaxiensis strain 090558 16S ribosomal RNA, partial sequence",18
"gi|2962412368|ref|NR_199563.1| Pelomonas caseinilytica strain P7 16S ribosomal RNA, partial sequence",18
"gi|2962412369|ref|NR_199564.1| Pelomonas cellulosilytica strain P8 16S ribosomal RNA, partial sequence",18
"gi|636560435|ref|NR_116495.1| Delftia lacustris strain 332 16S ribosomal RNA, partial sequence",18
"gi|1116030290|ref|NR_144748.1| Merdimmobilis hominis strain Marseille-P2769 16S ribosomal RNA, partial sequence",18
"gi|1864207066|ref|NR_169360.1| Anaerococcus urinomassiliensis strain Marseille-P2143 16S ribosomal RNA, partial sequence",18
"gi|1491520103|ref|NR_159265.1| Microbacterium deserti strain SYSU D8014 16S ribosomal RNA, partial sequence",17
"gi|1024974697|ref|NR_136770.1| Gemmatimonas phototrophica strain AP64 16S ribosomal RNA, partial sequence",17
"gi|444303904|ref|NR_074327.1| Acidiphilium multivorum strain AIU301 16S ribosomal RNA, complete sequence",17
"gi|2363084224|ref|NR_180361.1| Sheuella amnicola strain NBD-18 16S ribosomal RNA, partial sequence",17
"gi|526641957|ref|NR_103954.1| Chthonomonas calidirosea T49 16S ribosomal RNA, partial sequence",17
"gi|2363081439|ref|NR_178966.1| Roseomonas nepalensis strain G-3-5 16S ribosomal RNA, partial sequence",17
"gi|2363082641|ref|NR_179567.1| Bacteroides ilei strain Marseille-P3208 16S ribosomal RNA, partial sequence",17
"gi|2363081188|ref|NR_178837.1| Variovorax gossypii strain JM-310 16S ribosomal RNA, partial sequence",17
"gi|645321791|ref|NR_118675.1| [Eubacterium] siraeum strain ATCC 29066 16S ribosomal RNA, partial sequence",17
"gi|961555213|ref|NR_134182.1| Sphingomonas kyeonggiensis strain THG-DT81 16S ribosomal RNA, partial sequence",16
"gi|219878185|ref|NR_025324.1| Sphingomonas leidyi strain ATCC 15260 16S ribosomal RNA, partial sequence",16
"gi|2363083633|ref|NR_180064.1| Sphingomonas pokkalii strain L3B27 16S ribosomal RNA, partial sequence",16
"gi|2260349424|ref|NR_176506.1| Faecalibacillus intestinalis strain SNUG30099 16S ribosomal RNA, partial sequence",16
"gi|2260349423|ref|NR_176505.1| Faecalibacillus faecis strain SNUG30370 16S ribosomal RNA, partial sequence",16
"gi|219846862|ref|NR_026454.1| Granulicatella balaenopterae strain M1975/96/1 16S ribosomal RNA, partial sequence",16
"gi|636558700|ref|NR_114757.1| Desulfofundulus kuznetsovii DSM 6115 strain 17 16S ribosomal RNA, partial sequence",16
"gi|636559072|ref|NR_115129.1| Desulfofundulus kuznetsovii DSM 6115 strain 17 16S ribosomal RNA, complete sequence",16
"gi|343198796|ref|NR_043697.1| Tepidicella xavieri strain TU-16 16S ribosomal RNA, partial sequence",16
"gi|961555263|ref|NR_134232.1| Caldimonas caldifontis strain YIM 78140 16S ribosomal RNA, partial sequence",16
"gi|2221405486|ref|NR_175547.1| Pseudonocardia acidicola strain K10HN5 16S ribosomal RNA, complete sequence",16
"gi|343200774|ref|NR_041461.1| Phocaeicola coprophilus strain CB42 16S ribosomal RNA, partial sequence",16
"gi|1193829149|ref|NR_147392.1| Anaerococcus mediterraneensis strain Marseille-P2765 16S ribosomal RNA, partial sequence",16
"gi|631252033|ref|NR_113231.1| Blautia glucerasea strain JCM 17039 16S ribosomal RNA, partial sequence",15
"gi|2363086462|ref|NR_181485.1| Lysobacter solisilvae strain R19 16S ribosomal RNA, partial sequence",15
"gi|645321813|ref|NR_118692.1| Blautia obeum ATCC 29174 16S ribosomal RNA, partial sequence",15
"gi|2363087027|ref|NR_181770.1| Metapseudomonas boanensis strain DB1 16S ribosomal RNA, partial sequence",15
"gi|343200812|ref|NR_041499.1| Flavisolibacter ginsengiterrae strain Gsoil 492 16S ribosomal RNA, partial sequence",15
"gi|343200813|ref|NR_041500.1| Flavisolibacter ginsengisoli strain Gsoil 643 16S ribosomal RNA, partial sequence",15
"gi|918024594|ref|NR_132395.1| Endobacter medicaginis strain M1MS02 16S ribosomal RNA, partial sequence",15
"gi|2136551688|ref|NR_173693.1| Olsenella phocaeensis strain Marseille-P2936 16S ribosomal RNA, partial sequence",15
"gi|265678302|ref|NR_028604.1| Collinsella aerofaciens strain ATCC 25986 16S ribosomal RNA, partial sequence",15
"gi|631252118|ref|NR_113316.1| Collinsella aerofaciens strain JCM 10188 16S ribosomal RNA, partial sequence",15
"gi|631251924|ref|NR_113122.1| Segatella paludivivens strain JCM 13650 16S ribosomal RNA, partial sequence",15
"gi|1269785358|ref|NR_121735.2| Snodgrassella alvi wkB2 16S ribosomal RNA, complete sequence >gi|1269785421|ref|NR_118404.2| Snodgrassella alvi wkB2 16S ribosomal RNA, complete sequence",15
"gi|631251464|ref|NR_112661.1| Marinilactibacillus piezotolerans strain JCM 12337 16S ribosomal RNA, partial sequence",15
"gi|566084828|ref|NR_108192.1| Solirubrobacter ginsenosidimutans strain BXN5-15 16S ribosomal RNA, partial sequence",15
"gi|631251024|ref|NR_112221.1| Curvibacter fontanus strain AQ9 16S ribosomal RNA, partial sequence",14
