organism,count
"gi|2363084280|ref|NR_180390.1| Acetobacter oryzoeni strain B6 16S ribosomal RNA, partial sequence",65
"gi|343202726|ref|NR_043152.1| Ralstonia pickettii strain ATCC 27511 16S ribosomal RNA, partial sequence",64
"gi|2363081154|ref|NR_178820.1| Acetobacter oryzifermentans strain SLV-7 16S ribosomal RNA, partial sequence",64
"gi|631252928|ref|NR_114126.1| Ralstonia pickettii strain NBRC 102503 16S ribosomal RNA, partial sequence",62
"gi|631252154|ref|NR_113352.1| Ralstonia pickettii strain JCM 5969 16S ribosomal RNA, partial sequence",61
"gi|444304218|ref|NR_074643.1| Ramlibacter tataouinensis TTB310 16S ribosomal RNA, partial sequence",61
"gi|2180566441|ref|NR_174292.1| Bradyrhizobium frederickii strain CNPSo 3426 16S ribosomal RNA, partial sequence",60
"gi|672239015|ref|NR_125604.1| Paenirhodobacter enshiensis strain DW2-9 16S ribosomal RNA, partial sequence",60
"gi|343198453|ref|NR_041886.1| Haematobacter massiliensis strain Framboise 16S ribosomal RNA, partial sequence",60
"gi|631252095|ref|NR_113293.1| Thermus thermophilus strain JCM 10941 16S ribosomal RNA, partial sequence",59
"gi|449372181|ref|NR_074325.2| Paraburkholderia xenovorans LB400 16S ribosomal RNA, partial sequence",59
"gi|219846515|ref|NR_026107.1| Acetobacter pasteurianus strain LMD 22.1 16S ribosomal RNA, partial sequence",58
"gi|444304091|ref|NR_074515.1| Phocaeicola vulgatus ATCC 8482 16S ribosomal RNA, partial sequence",57
"gi|343200300|ref|NR_040987.1| Cupriavidus pinatubonensis strain 1245 16S ribosomal RNA, partial sequence",57
"gi|2363087357|ref|NR_181935.1| Streptococcus oriscaviae strain HKU75 16S ribosomal RNA, complete sequence",57
"gi|1776910886|ref|NR_164619.1| Acidibrevibacterium fodinaquatile strain G45-3 16S ribosomal RNA, partial sequence",56
"gi|2363081939|ref|NR_179215.1| Streptococcus parasuis strain SUT-286 16S ribosomal RNA, partial sequence",56
"gi|631250963|ref|NR_112160.1| Thermus kawarayensis JCM 12314 strain KW11 16S ribosomal RNA, partial sequence",55
"gi|2363086454|ref|NR_181481.1| Streptococcus oriscaviae strain HKU75 16S ribosomal RNA, partial sequence",55
"gi|2363082673|ref|NR_179584.1| Blautia phocaeensis strain Marseille-P3441 16S ribosomal RNA, partial sequence",53
"gi|2621112289|ref|NR_189192.1| Vulcanimicrobium alpinum strain WC8-2 16S ribosomal RNA, partial sequence",52
"gi|2363082685|ref|NR_179590.1| Blautia provencensis strain Marseille-P3502 16S ribosomal RNA, partial sequence",52
"gi|2363081194|ref|NR_178840.1| Blautia pseudococcoides strain YL58 16S ribosomal RNA, partial sequence",51
"gi|631251748|ref|NR_112946.1| Phocaeicola vulgatus strain JCM 5826 16S ribosomal RNA, partial sequence",49
"gi|2180566501|ref|NR_174339.1| Falsiroseomonas bella strain CQN31 16S ribosomal RNA, complete sequence",49
"gi|343200664|ref|NR_041351.1| Phocaeicola dorei strain 175 16S ribosomal RNA, partial sequence",48
"gi|559795150|ref|NR_104737.1| Eubacterium oxidoreducens strain G41 16S ribosomal RNA, partial sequence",48
"gi|2136551676|ref|NR_173681.1| Rhabdothermincola sediminis strain SYSU G02662 16S ribosomal RNA, partial sequence",44
"gi|1137647857|ref|NR_145646.1| Falsiroseomonas wooponensis strain WW53 16S ribosomal RNA, partial sequence",42
"gi|636559894|ref|NR_115954.1| Sphingobacterium allocomposti strain 4M24 16S ribosomal RNA, partial sequence",42
"gi|2363084489|ref|NR_180492.1| Bradyrhizobium agreste strain CNPSo 4010 16S ribosomal RNA, partial sequence",42
"gi|2363084487|ref|NR_180491.1| Bradyrhizobium glycinis strain CNPSo 4016 16S ribosomal RNA, partial sequence",42
"gi|2363085085|ref|NR_180791.1| Caenimonas soli strain S4 16S ribosomal RNA, partial sequence",42
"gi|1270541310|ref|NR_074708.2| Gemmatimonas aurantiaca T-27 16S ribosomal RNA, partial sequence",41
"gi|1024974697|ref|NR_136770.1| Gemmatimonas phototrophica strain AP64 16S ribosomal RNA, partial sequence",40
"gi|631251365|ref|NR_112562.1| Variovorax ginsengisoli strain Gsoil 3165 16S ribosomal RNA, partial sequence",40
"gi|2363081188|ref|NR_178837.1| Variovorax gossypii strain JM-310 16S ribosomal RNA, partial sequence",39
"gi|558508598|ref|NR_104525.1| Nevskia terrae strain KIS13-15 16S ribosomal RNA, partial sequence",39
"gi|343198441|ref|NR_041827.1| Bradyrhizobium denitrificans strain IFAM 1005 16S ribosomal RNA, partial sequence",38
"gi|961555210|ref|NR_134179.1| Sphingobacterium paludis strain S37 16S ribosomal RNA, partial sequence",38
"gi|672239049|ref|NR_125638.1| Bradyrhizobium valentinum strain LmjM3 16S ribosomal RNA, partial sequence",38
"gi|2221405486|ref|NR_175547.1| Pseudonocardia acidicola strain K10HN5 16S ribosomal RNA, complete sequence",38
"gi|961555024|ref|NR_133991.1| Caballeronia jiangsuensis strain MP-1 16S ribosomal RNA, partial sequence",37
"gi|2180566443|ref|NR_174293.1| Bradyrhizobium niftali strain CNPSo 3448 16S ribosomal RNA, partial sequence",36
"gi|1776910892|ref|NR_164625.1| Janthinobacterium lividum strain DSM 1522 16S ribosomal RNA, partial sequence",36
"gi|2363086210|ref|NR_181357.1| Pseudonocardia broussonetiae strain Gen 01 16S ribosomal RNA, complete sequence",36
"gi|1953646657|ref|NR_171483.1| Flavisolibacter nicotianae strain X7X 16S ribosomal RNA, partial sequence",36
"gi|444439494|ref|NR_074809.1| Roseburia hominis A2-183 16S ribosomal RNA, partial sequence",35
"gi|636560188|ref|NR_116248.1| Paraburkholderia rhynchosiae strain WSM3937 16S ribosomal RNA, partial sequence",35
"gi|2363083601|ref|NR_180048.1| Lacrimispora amygdalina strain PI-S10-A1B 16S ribosomal RNA, partial sequence",35
"gi|943392601|ref|NR_117138.2| Anaerostipes hadrus strain DSM 3319 16S ribosomal RNA, partial sequence",35
"gi|943392602|ref|NR_117139.2| Anaerostipes hadrus strain DSM 3319 16S ribosomal RNA, partial sequence",35
"gi|559795210|ref|NR_104799.1| Anaerostipes hadrus strain DSM 3319 16S ribosomal RNA, partial sequence",35
"gi|2221405287|ref|NR_175457.1| Ramlibacter humi strain 18x22-1 16S ribosomal RNA, partial sequence",35
"gi|631253065|ref|NR_114263.1| Hydrocarboniphaga daqingensis strain NBRC 104238 16S ribosomal RNA, partial sequence",35
"gi|645321086|ref|NR_118138.1| Gaiella occulta strain F2-233 16S ribosomal RNA, partial sequence",34
"gi|2962412276|ref|NR_199470.1| Levilactobacillus lettrarii strain FUA3695 16S ribosomal RNA, partial sequence",34
"gi|672238903|ref|NR_125492.1| Methylobacterium adhaesivum strain AR27 16S ribosomal RNA, partial sequence",33
"gi|343205731|ref|NR_044135.1| Nevskia soli strain GR15-1 16S ribosomal RNA, partial sequence",33
"gi|848212582|ref|NR_132289.1| Aquihabitans daechungensis strain CH22-21 16S ribosomal RNA, partial sequence",33
"gi|636559162|ref|NR_115219.1| Methylobacterium goesingense strain iEII3 16S ribosomal RNA, partial sequence",32
"gi|2363084922|ref|NR_180709.1| Paraburkholderia madseniana strain RP11 16S ribosomal RNA, partial sequence",32
"gi|636558700|ref|NR_114757.1| Desulfofundulus kuznetsovii DSM 6115 strain 17 16S ribosomal RNA, partial sequence",32
"gi|343200774|ref|NR_041461.1| Phocaeicola coprophilus strain CB42 16S ribosomal RNA, partial sequence",32
"gi|645322037|ref|NR_118874.1| Renibacterium salmoninarum strain Lea-1-74 16S ribosomal RNA, partial sequence",32
"gi|1445136030|ref|NR_158070.1| Pseudokineococcus basanitobsidens strain SKC1-2 16S ribosomal RNA, partial sequence",31
"gi|645320939|ref|NR_118029.1| Actimicrobium antarcticum strain KOPRI 25157 16S ribosomal RNA, partial sequence",31
"gi|1953646739|ref|NR_171529.1| Massilia atriviolacea strain SOD 16S ribosomal RNA, partial sequence",31
"gi|343200925|ref|NR_041612.1| Catenulispora subtropica strain TT 99-48 16S ribosomal RNA, partial sequence",31
"gi|265678404|ref|NR_028706.1| Pseudomonas veronii strain CIP 104663 16S ribosomal RNA, partial sequence",31
"gi|2363082641|ref|NR_179567.1| Bacteroides ilei strain Marseille-P3208 16S ribosomal RNA, partial sequence",31
"gi|1269836853|ref|NR_044704.2| Levilactobacillus brevis strain ATCC 14869 16S ribosomal RNA, partial sequence",31
"gi|559795174|ref|NR_104763.1| Rhodovibrio sodomensis strain DSI 16S ribosomal RNA, partial sequence",30
"gi|636559072|ref|NR_115129.1| Desulfofundulus kuznetsovii DSM 6115 strain 17 16S ribosomal RNA, complete sequence",30
"gi|559795130|ref|NR_104716.1| Globicatella sanguinis strain 1152-78 16S ribosomal RNA, partial sequence",30
"gi|219878298|ref|NR_025437.1| Globicatella sulfidifaciens strain CCUG 44365 16S ribosomal RNA, partial sequence",30
"gi|1909404480|ref|NR_170535.1| Duganella levis strain CY42W 16S ribosomal RNA, partial sequence",30
"gi|343204735|ref|NR_043811.1| Variovorax soli strain GH9-3 16S ribosomal RNA, partial sequence",29
"gi|636559655|ref|NR_115715.1| Pseudomonas fluorescens strain CCM 2115 16S ribosomal RNA, partial sequence",29
"gi|1779814905|ref|NR_164980.1| Flavisolibacter galbus strain 17J28-26 16S ribosomal RNA, partial sequence",29
"gi|1445135990|ref|NR_158030.1| Levilactobacillus cerevisiae strain TUM BP 140423000-2250 16S ribosomal RNA, partial sequence",29
"gi|2463901786|ref|NR_184612.1| Capillimicrobium parvum strain 0166_1 16S ribosomal RNA, partial sequence",28
"gi|343200571|ref|NR_041258.1| Methylophilus leisingeri strain DSM 6813 16S ribosomal RNA, partial sequence",28
"gi|343200570|ref|NR_041257.1| Methylophilus methylotrophus strain NCIMB 10515 16S ribosomal RNA, partial sequence",28
"gi|636558589|ref|NR_114646.1| Rhodoferax ferrireducens T118 16S ribosomal RNA, partial sequence",28
"gi|2363080439|ref|NR_178459.1| Paraburkholderia haematera strain LMG 31837 16S ribosomal RNA, partial sequence",28
"gi|343199100|ref|NR_044555.1| Thiobacillus thiophilus strain D24TN 16S ribosomal RNA, partial sequence",27
"gi|2363080437|ref|NR_178458.1| Paraburkholderia nemoris strain LMG 31836 16S ribosomal RNA, partial sequence",27
"gi|343200359|ref|NR_041046.1| Novosphingobium naphthalenivorans strain TUT562 16S ribosomal RNA, partial sequence",26
"gi|2363081794|ref|NR_179143.1| Methylophilus aquaticus strain LTK 16S ribosomal RNA, partial sequence",26
"gi|444304189|ref|NR_074613.1| Lachnospira eligens ATCC 27750 16S ribosomal RNA, partial sequence",26
"gi|2363086772|ref|NR_181643.1| Comamonas fluminis strain CJ34 16S ribosomal RNA, complete sequence",26
"gi|566085207|ref|NR_109018.1| Catenulispora graminis strain BR-34 16S ribosomal RNA, partial sequence",26
"gi|1520188677|ref|NR_159897.1| Flavisolibacter metallilatus strain TX0661 16S ribosomal RNA, partial sequence",26
"gi|566085547|ref|NR_109617.1| Nevskia persephonica strain G6M-30 16S ribosomal RNA, partial sequence",25
"gi|566085056|ref|NR_108679.1| Algoriphagus faecimaris strain LYX05 16S ribosomal RNA, partial sequence",25
"gi|343205939|ref|NR_044443.1| Sorangium cellulosum strain DSM 14627 16S ribosomal RNA, partial sequence",24
"gi|343198925|ref|NR_044049.1| Coprococcus eutactus strain ATCC 27759 16S ribosomal RNA, partial sequence",24
"gi|265678979|ref|NR_029287.1| Nitrospira moscoviensis strain NSP M-1 16S ribosomal RNA, partial sequence",24
"gi|1227086018|ref|NR_148573.1| Nitrospira lenta strain BS10 16S ribosomal RNA, partial sequence",24
"gi|566084870|ref|NR_108319.1| Methylobacterium bullatum strain F3.2 16S ribosomal RNA, partial sequence",23
"gi|974142289|ref|NR_134809.1| Sinomonas humi strain MUSC 117 16S ribosomal RNA, partial sequence",23
"gi|343200817|ref|NR_041504.1| Olivibacter ginsengisoli strain Gsoil 060 16S ribosomal RNA, partial sequence",23
"gi|645320413|ref|NR_117624.1| Acinetobacter johnsonii strain ATCC 17909 16S ribosomal RNA, partial sequence",23
"gi|2363083513|ref|NR_180005.1| Acinetobacter oryzae strain B23 16S ribosomal RNA, partial sequence",23
"gi|961555213|ref|NR_134182.1| Sphingomonas kyeonggiensis strain THG-DT81 16S ribosomal RNA, partial sequence",23
"gi|219878185|ref|NR_025324.1| Sphingomonas leidyi strain ATCC 15260 16S ribosomal RNA, partial sequence",23
"gi|2363083633|ref|NR_180064.1| Sphingomonas pokkalii strain L3B27 16S ribosomal RNA, partial sequence",23
"gi|219846604|ref|NR_026196.1| Sinomonas atrocyanea strain DSM 20127 16S ribosomal RNA, partial sequence",22
"gi|636560618|ref|NR_116678.1| Sorangium cellulosum strain DSM 14627 16S ribosomal RNA, partial sequence",22
"gi|636558854|ref|NR_114911.1| Pseudomonas extremaustralis 14-3 16S ribosomal RNA, partial sequence",22
"gi|1909404487|ref|NR_170542.1| Pseudoduganella aquatica strain FT127W 16S ribosomal RNA, partial sequence",21
"gi|2363086886|ref|NR_181700.1| Collimonas humicola strain RLT1W51 16S ribosomal RNA, partial sequence",21
"gi|699005313|ref|NR_126182.1| Labilithrix luteola strain B00002 16S ribosomal RNA, partial sequence",21
"gi|2260349424|ref|NR_176506.1| Faecalibacillus intestinalis strain SNUG30099 16S ribosomal RNA, partial sequence",21
"gi|2260349423|ref|NR_176505.1| Faecalibacillus faecis strain SNUG30370 16S ribosomal RNA, partial sequence",21
"gi|2363086884|ref|NR_181699.1| Collimonas silvisoli strain RXD178 16S ribosomal RNA, partial sequence",20
"gi|559795246|ref|NR_104836.1| [Lactobacillus] rogosae strain ATCC 27753 16S ribosomal RNA, partial sequence",20
"gi|343200898|ref|NR_041585.1| Rhizobacter dauci strain H6 16S ribosomal RNA, partial sequence",20
"gi|470466352|ref|NR_074116.1| Dehalococcoides mccartyi 195 16S ribosomal RNA, partial sequence",20
"gi|961555263|ref|NR_134232.1| Caldimonas caldifontis strain YIM 78140 16S ribosomal RNA, partial sequence",20
"gi|2363082262|ref|NR_179378.1| Fundicoccus fermenti strain F-1 16S ribosomal RNA, partial sequence",20
"gi|219878237|ref|NR_025376.1| Comamonas nitrativorans strain 23310 16S ribosomal RNA, partial sequence",20
"gi|343201277|ref|NR_042003.1| Pseudonocardia hydrocarbonoxydans strain IMSNU 22140 16S ribosomal RNA, partial sequence",20
"gi|343201281|ref|NR_042007.1| Roseburia inulinivorans DSM 16841 strain A2-194 16S ribosomal RNA, partial sequence",20
"gi|265678605|ref|NR_028910.1| Pelospora glutarica strain WoGl3 16S ribosomal RNA, partial sequence",20
"gi|1269236015|ref|NR_136863.2| Sinomonas mesophila strain MPKL 26 16S ribosomal RNA, complete sequence",19
"gi|2363082625|ref|NR_179559.1| Angelakisella massiliensis strain Marseille-P3217 16S ribosomal RNA, partial sequence",19
"gi|228716944|ref|NR_027557.1| Roseburia intestinalis L1-82 16S ribosomal RNA, partial sequence",19
"gi|566085429|ref|NR_109471.1| Fontimonas thermophila strain HA-01 16S ribosomal RNA, partial sequence",19
"gi|2363083142|ref|NR_179819.1| Tabrizicola soli strain ZQBW 16S ribosomal RNA, partial sequence",19
"gi|343200590|ref|NR_041277.1| Phocaeicola plebeius DSM 17135 strain M12 16S ribosomal RNA, partial sequence",19
"gi|631252033|ref|NR_113231.1| Blautia glucerasea strain JCM 17039 16S ribosomal RNA, partial sequence",19
"gi|2221405427|ref|NR_175520.1| Massilia puerhi strain SJY3 16S ribosomal RNA, partial sequence",19
"gi|672238947|ref|NR_125536.1| Rhodoferax saidenbachensis strain ED16 16S ribosomal RNA, partial sequence",19
"gi|1953646544|ref|NR_171428.1| Actinomarinicola tropica strain SCSIO 58843 16S ribosomal RNA, partial sequence",18
"gi|1246951800|ref|NR_149804.1| Bradyrhizobium centrosematis strain A9 16S ribosomal RNA, partial sequence",18
"gi|645321791|ref|NR_118675.1| [Eubacterium] siraeum strain ATCC 29066 16S ribosomal RNA, partial sequence",18
"gi|2221405524|ref|NR_175563.1| Caldimonas brevitalea strain DSM 7029 16S ribosomal RNA, partial sequence",18
"gi|636560435|ref|NR_116495.1| Delftia lacustris strain 332 16S ribosomal RNA, partial sequence",18
"gi|645320407|ref|NR_117619.1| Acinetobacter calcoaceticus strain ATCC 23055 16S ribosomal RNA, partial sequence",18
"gi|343200179|ref|NR_040866.1| Bacteroides uniformis strain JCM 5828 16S ribosomal RNA, partial sequence",18
"gi|631251747|ref|NR_112945.1| Bacteroides uniformis strain JCM 5828 16S ribosomal RNA, partial sequence",18
"gi|631253198|ref|NR_114396.1| Nitrospira japonica strain J1 16S ribosomal RNA, partial sequence",18
"gi|1277396349|ref|NR_152060.1| Butyricicoccus faecihominis strain KS-2 16S ribosomal RNA, partial sequence",18
"gi|343200212|ref|NR_040899.1| Herbaspirillum autotrophicum strain IAM 14942 16S ribosomal RNA, partial sequence",18
"gi|645320063|ref|NR_117360.1| Segetibacter aerophilus strain 6424S-61 16S ribosomal RNA, partial sequence",18
"gi|2363083012|ref|NR_179754.1| Paracoccus salipaludis strain WN007 16S ribosomal RNA, partial sequence",18
"gi|659364590|ref|NR_121706.1| Paracoccus aminophilus strain DM-15 16S ribosomal RNA, partial sequence",18
"gi|219857286|ref|NR_024917.1| Lacrimispora indolis SR3 16S ribosomal RNA, partial sequence",18
"gi|645320536|ref|NR_117719.1| Streptococcus oralis subsp. dentisani strain 7747 16S ribosomal RNA, partial sequence",18
"gi|228715357|ref|NR_027529.1| Gemmatimonas aurantiaca T-27 16S ribosomal RNA, partial sequence",17
"gi|1277396373|ref|NR_152086.1| Lysobacter firmicutimachus strain PB-6250 16S ribosomal RNA, complete sequence",17
"gi|1277396293|ref|NR_152004.1| Acinetobacter lactucae strain NRRL B-41902 16S ribosomal RNA, partial sequence >gi|1277396369|ref|NR_152082.1| Acinetobacter lactucae strain JVAP01 16S ribosomal RNA, partial sequence",17
"gi|636558901|ref|NR_114958.1| Acinetobacter calcoaceticus strain ATCC 23055 16S ribosomal RNA, partial sequence",17
"gi|343200140|ref|NR_040827.1| Novosphingobium subterraneum strain IFO 16086 16S ribosomal RNA, partial sequence",17
"gi|1040567021|ref|NR_137370.1| Jatrophihabitans fulvus strain PB158 16S ribosomal RNA, partial sequence",17
"gi|1182956122|ref|NR_146830.1| Thalassiella azotivora strain DSD2 16S ribosomal RNA, partial sequence",17
"gi|631251874|ref|NR_113072.1| Bacteroides rodentium JCM 16496 16S ribosomal RNA, partial sequence",17
"gi|645321785|ref|NR_118670.1| Eubacterium ventriosum strain ATCC 27560 16S ribosomal RNA, partial sequence",17
"gi|265678555|ref|NR_028859.1| Herbaspirillum lusitanum strain P6-12 16S ribosomal RNA, partial sequence",17
"gi|631253098|ref|NR_114296.1| Segetibacter aerophilus strain NBRC 106135 16S ribosomal RNA, partial sequence",17
"gi|926663081|ref|NR_132675.1| Gemmatirosa kalamazoonensis strain KBS708 16S ribosomal RNA, partial sequence",17
"gi|659364459|ref|NR_121686.1| [Bacteroides] pectinophilus strain N3 16S ribosomal RNA, partial sequence",17
"gi|2363081439|ref|NR_178966.1| Roseomonas nepalensis strain G-3-5 16S ribosomal RNA, partial sequence",17
"gi|2363081385|ref|NR_178939.1| Psychromicrobium lacuslunae strain IHBB 11108 16S ribosomal RNA, partial sequence",17
"gi|636559945|ref|NR_116005.1| Reyranella massiliensis 521 16S ribosomal RNA, partial sequence",16
"gi|343205788|ref|NR_044210.1| Novosphingobium panipatense strain SM16 16S ribosomal RNA, partial sequence",16
"gi|1033657146|ref|NR_137236.1| Paraburkholderia solisilvae strain Y-47 16S ribosomal RNA, partial sequence",16
"gi|310975061|ref|NR_036925.1| Lysobacter enzymogenes strain 495 16S ribosomal RNA, partial sequence",16
"gi|2363086410|ref|NR_181459.1| Acinetobacter kanungonis strain PS-1 16S ribosomal RNA, partial sequence",16
"gi|343205971|ref|NR_044490.1| Butyricicoccus pullicaecorum strain 25-3 16S ribosomal RNA, partial sequence",16
"gi|631253016|ref|NR_114214.1| Variovorax boronicumulans NBRC 103145 16S ribosomal RNA, partial sequence",16
"gi|1146059112|ref|NR_145844.1| Bacteroides caecigallinarum strain C13EG111 16S ribosomal RNA, partial sequence",16
"gi|1679775923|ref|NR_163645.1| Roseisolibacter agri strain AW1220 16S ribosomal RNA, partial sequence",16
"gi|694190103|ref|NR_114777.2| Enterococcus avium ATCC 14025 16S ribosomal RNA, partial sequence",16
"gi|699005311|ref|NR_126180.1| Reyranella graminifolii strain Wo-34 16S ribosomal RNA, partial sequence",15
"gi|566085594|ref|NR_109674.1| Reyranella soli strain KIS14-15 16S ribosomal RNA, partial sequence",15
