organism,count
"gi|1246951799|ref|NR_149803.1| Bradyrhizobium americanum strain CMVU44 16S ribosomal RNA, partial sequence",40
"gi|2363082625|ref|NR_179559.1| Angelakisella massiliensis strain Marseille-P3217 16S ribosomal RNA, partial sequence",40
"gi|2363083633|ref|NR_180064.1| Sphingomonas pokkalii strain L3B27 16S ribosomal RNA, partial sequence",40
"gi|2363083601|ref|NR_180048.1| Lacrimispora amygdalina strain PI-S10-A1B 16S ribosomal RNA, partial sequence",40
"gi|2180566441|ref|NR_174292.1| Bradyrhizobium frederickii strain CNPSo 3426 16S ribosomal RNA, partial sequence",40
"gi|343198925|ref|NR_044049.1| Coprococcus eutactus strain ATCC 27759 16S ribosomal RNA, partial sequence",40
"gi|343201281|ref|NR_042007.1| Roseburia inulinivorans DSM 16841 strain A2-194 16S ribosomal RNA, partial sequence",39
"gi|2260349424|ref|NR_176506.1| Faecalibacillus intestinalis strain SNUG30099 16S ribosomal RNA, partial sequence",38
"gi|2260349423|ref|NR_176505.1| Faecalibacillus faecis strain SNUG30370 16S ribosomal RNA, partial sequence",38
"gi|310975040|ref|NR_036904.1| Staphylococcus epidermidis strain Fussel 16S ribosomal RNA, partial sequence",38
"gi|2363082641|ref|NR_179567.1| Bacteroides ilei strain Marseille-P3208 16S ribosomal RNA, partial sequence",38
"gi|636560813|ref|NR_116873.1| Priestia megaterium strain ATCC 14581 16S ribosomal RNA, partial sequence",38
"gi|1277396349|ref|NR_152060.1| Butyricicoccus faecihominis strain KS-2 16S ribosomal RNA, partial sequence",37
"gi|343200774|ref|NR_041461.1| Phocaeicola coprophilus strain CB42 16S ribosomal RNA, partial sequence",37
"gi|2363085890|ref|NR_181197.1| Pseudomonas urethralis strain BML-PP042 16S ribosomal RNA, partial sequence",37
"gi|2363084485|ref|NR_180490.1| Bradyrhizobium diversitatis strain CNPSo 4019 16S ribosomal RNA, partial sequence",36
"gi|343200859|ref|NR_041546.1| Arthrobacter humicola strain KV-653 16S ribosomal RNA, partial sequence",36
"gi|470467498|ref|NR_074178.1| Methylobacillus flagellatus strain KT 16S ribosomal RNA, partial sequence",36
"gi|265678625|ref|NR_028930.1| Stenotrophomonas rhizophila strain e-p10 16S ribosomal RNA, partial sequence",36
"gi|2363085888|ref|NR_181196.1| Pseudomonas ceruminis strain BML-PP028 16S ribosomal RNA, partial sequence",36
"gi|343205971|ref|NR_044490.1| Butyricicoccus pullicaecorum strain 25-3 16S ribosomal RNA, partial sequence",35
"gi|631252759|ref|NR_113957.1| Staphylococcus epidermidis strain NBRC 100911 16S ribosomal RNA, partial sequence",35
"gi|228716557|ref|NR_027552.1| Bacillus subtilis strain DSM 10 16S ribosomal RNA, partial sequence",34
"gi|343200781|ref|NR_041468.1| Lentilactobacillus parafarraginis strain NRIC 0677 16S ribosomal RNA, partial sequence",34
"gi|2363085669|ref|NR_181087.1| Agrobacterium leguminum strain MOPV5 16S ribosomal RNA, partial sequence",33
"gi|636560246|ref|NR_116306.1| Agrobacterium radiobacter strain UQM 1685 16S ribosomal RNA, partial sequence",33
"gi|636559456|ref|NR_115516.1| Agrobacterium tumefaciens strain NCPPB2437 16S ribosomal RNA, partial sequence",33
"gi|343200607|ref|NR_041294.1| Lentilactobacillus parabuchneri strain JCM 12493 16S ribosomal RNA, partial sequence",33
"gi|265678892|ref|NR_029200.1| Afipia broomeae strain F186 16S ribosomal RNA, partial sequence",32
"gi|559795246|ref|NR_104836.1| [Lactobacillus] rogosae strain ATCC 27753 16S ribosomal RNA, partial sequence",32
"gi|343198441|ref|NR_041827.1| Bradyrhizobium denitrificans strain IFAM 1005 16S ribosomal RNA, partial sequence",32
"gi|2363082817|ref|NR_179657.1| Corynebacterium neomassiliense strain Marseille-P3888 16S ribosomal RNA, partial sequence",31
"gi|659364459|ref|NR_121686.1| [Bacteroides] pectinophilus strain N3 16S ribosomal RNA, partial sequence",31
"gi|1270541310|ref|NR_074708.2| Gemmatimonas aurantiaca T-27 16S ribosomal RNA, partial sequence",31
"gi|645322444|ref|NR_119190.1| Aeromonas hydrophila strain DSM 30187 16S ribosomal RNA, partial sequence",30
"gi|343200972|ref|NR_041659.1| Lentilactobacillus rapi strain YIT 11204 16S ribosomal RNA, partial sequence",30
"gi|219857286|ref|NR_024917.1| Lacrimispora indolis SR3 16S ribosomal RNA, partial sequence",29
"gi|1864207040|ref|NR_169334.1| Ectopseudomonas khazarica strain TBZ2 16S ribosomal RNA, partial sequence",28
"gi|343205678|ref|NR_044054.1| Blautia wexlerae DSM 19850 16S ribosomal RNA, partial sequence",28
"gi|343201412|ref|NR_042138.1| Corynebacterium macginleyi strain JCL-2 16S ribosomal RNA, partial sequence",28
"gi|1024974697|ref|NR_136770.1| Gemmatimonas phototrophica strain AP64 16S ribosomal RNA, partial sequence",28
"gi|343198522|ref|NR_042778.1| Streptococcus thermophilus strain ATCC 19258 16S ribosomal RNA, partial sequence",27
"gi|631252207|ref|NR_113405.1| Staphylococcus saccharolyticus strain JCM 1768 16S ribosomal RNA, partial sequence",27
"gi|636559531|ref|NR_115591.1| Brevibacillus formosus strain NRRL NRS-863 16S ribosomal RNA, partial sequence",27
"gi|1811131543|ref|NR_165725.1| Brevibacillus antibioticus strain TGS2-1 16S ribosomal RNA, partial sequence",27
"gi|2363086226|ref|NR_181365.1| Undibacterium flavidum strain LX15W 16S ribosomal RNA, partial sequence",27
"gi|343198520|ref|NR_042776.1| Streptococcus salivarius strain ATCC 7073 16S ribosomal RNA, partial sequence",26
"gi|636559530|ref|NR_115590.1| Brevibacillus choshinensis strain HPD52 16S ribosomal RNA, partial sequence",26
"gi|2363084224|ref|NR_180361.1| Sheuella amnicola strain NBD-18 16S ribosomal RNA, partial sequence",26
"gi|2836274870|ref|NR_197632.1| Gloeothece guizhouensis strain CHAB5847 16S ribosomal RNA, partial sequence",25
"gi|2296162966|ref|NR_177915.1| Ramsaria avicennae 16S ribosomal RNA, complete sequence",25
"gi|645321785|ref|NR_118670.1| Eubacterium ventriosum strain ATCC 27560 16S ribosomal RNA, partial sequence",25
"gi|2363086228|ref|NR_181366.1| Undibacterium nitidum strain LX22W 16S ribosomal RNA, partial sequence",25
"gi|974142289|ref|NR_134809.1| Sinomonas humi strain MUSC 117 16S ribosomal RNA, partial sequence",24
"gi|219846604|ref|NR_026196.1| Sinomonas atrocyanea strain DSM 20127 16S ribosomal RNA, partial sequence",24
"gi|2363086224|ref|NR_181364.1| Undibacterium griseum strain FT31W 16S ribosomal RNA, partial sequence",24
"gi|2836274869|ref|NR_197631.1| Gloeothece guizhouensis strain CHAB5847 16S ribosomal RNA, partial sequence",24
"gi|2180566443|ref|NR_174293.1| Bradyrhizobium niftali strain CNPSo 3448 16S ribosomal RNA, partial sequence",24
"gi|1227086056|ref|NR_148591.1| Novosphingobium colocasiae strain Teta-03 16S ribosomal RNA, partial sequence",24
"gi|343200179|ref|NR_040866.1| Bacteroides uniformis strain JCM 5828 16S ribosomal RNA, partial sequence",24
"gi|631251747|ref|NR_112945.1| Bacteroides uniformis strain JCM 5828 16S ribosomal RNA, partial sequence",24
"gi|343200117|ref|NR_040804.1| Stenotrophomonas beteli strain ATCC 19861 16S ribosomal RNA, partial sequence",24
"gi|1269236015|ref|NR_136863.2| Sinomonas mesophila strain MPKL 26 16S ribosomal RNA, complete sequence",23
"gi|586661744|ref|NR_044869.2| Bradyrhizobium lupini strain DSM 30140 16S ribosomal RNA, partial sequence",23
"gi|645321813|ref|NR_118692.1| Blautia obeum ATCC 29174 16S ribosomal RNA, partial sequence",23
"gi|1441204236|ref|NR_157651.1| Sphingomonas spermidinifaciens strain 9NM-10 16S ribosomal RNA, partial sequence",23
"gi|1277396271|ref|NR_151982.1| Agathobaculum butyriciproducens strain SR79 16S ribosomal RNA, partial sequence",23
"gi|343202927|ref|NR_043421.1| Ectopseudomonas mendocina strain NCIB 10541 16S ribosomal RNA, partial sequence",23
"gi|343205610|ref|NR_043935.1| Pseudomonas chlororaphis subsp. aurantiaca strain NCIB 10068 16S ribosomal RNA, partial sequence",22
"gi|343201282|ref|NR_042008.1| Roseburia hominis A2-183 16S ribosomal RNA, partial sequence",22
"gi|848212600|ref|NR_132297.1| Sediminibacterium lactis strain LCJ02 16S ribosomal RNA, partial sequence",22
"gi|1146059112|ref|NR_145844.1| Bacteroides caecigallinarum strain C13EG111 16S ribosomal RNA, partial sequence",22
"gi|1776910893|ref|NR_164626.1| Pseudomonas chlororaphis subsp. aurantiaca strain NCIB 10068 16S ribosomal RNA, partial sequence",22
"gi|645320047|ref|NR_117348.1| Undibacterium oligocarboniphilum strain EM 1 16S ribosomal RNA, partial sequence",21
"gi|2363085615|ref|NR_181060.1| Undibacterium crateris strain B2R-29 16S ribosomal RNA, partial sequence",21
"gi|1909404423|ref|NR_170477.1| Rheinheimera sediminis strain YQF-1 16S ribosomal RNA, partial sequence",21
"gi|343200211|ref|NR_040898.1| Aquaspirillum arcticum strain IAM 14963 16S ribosomal RNA, partial sequence",21
"gi|926663087|ref|NR_132681.1| Pigmentiphaga soli strain BS12 16S ribosomal RNA, partial sequence",21
"gi|2363081927|ref|NR_179209.1| Noviherbaspirillum aridicola strain NCCP-691 16S ribosomal RNA, partial sequence",21
"gi|631251874|ref|NR_113072.1| Bacteroides rodentium JCM 16496 16S ribosomal RNA, partial sequence",21
"gi|343201499|ref|NR_042225.1| Anoxybacteroides amylolyticum strain MR3C 16S ribosomal RNA, partial sequence",21
"gi|1011034834|ref|NR_135725.1| Ectopseudomonas guguanensis strain CC-G9A 16S ribosomal RNA, partial sequence",21
"gi|2180566351|ref|NR_174227.1| Cutibacterium modestum strain M12 16S ribosomal RNA, partial sequence",21
"gi|310974914|ref|NR_036777.1| [Ruminococcus] torques strain VPI B2-51 16S ribosomal RNA, partial sequence",20
"gi|559795211|ref|NR_104800.1| Faecalicatena fissicatena strain DSM 3598 16S ribosomal RNA, partial sequence",20
"gi|228715347|ref|NR_027519.1| Staphylococcus capitis subsp. urealyticus strain MAW 8436 16S ribosomal RNA, partial sequence",20
"gi|343198521|ref|NR_042777.1| Streptococcus vestibularis ATCC 49124 16S ribosomal RNA, partial sequence",20
"gi|2363085836|ref|NR_181170.1| Noviherbaspirillum arenae strain M1 16S ribosomal RNA, partial sequence",20
"gi|228716944|ref|NR_027557.1| Roseburia intestinalis L1-82 16S ribosomal RNA, partial sequence",20
"gi|631251884|ref|NR_113082.1| Porphyromonas catoniae ATCC 51270 strain JCM 13863 16S ribosomal RNA, partial sequence",20
"gi|1024974747|ref|NR_136788.1| Porphyromonas pasteri strain KUFDS01 16S ribosomal RNA, partial sequence",20
"gi|636560112|ref|NR_116172.1| Pseudomonas taiwanensis DSM 21245 strain BCRC 17751 16S ribosomal RNA, partial sequence",20
"gi|2363086278|ref|NR_181391.1| Wujia chipingensis strain NSJ-4 16S ribosomal RNA, partial sequence",20
"gi|1277396186|ref|NR_151897.1| Bacillus nakamurai strain NRRL B-41091 16S ribosomal RNA, partial sequence",20
"gi|566085366|ref|NR_109415.1| Legionella massiliensis strain LegA 16S ribosomal RNA, partial sequence",20
"gi|507148077|ref|NR_102884.1| Ruminococcus champanellensis 18P13 = JCM 17042 16S ribosomal RNA, partial sequence",19
"gi|1277396373|ref|NR_152086.1| Lysobacter firmicutimachus strain PB-6250 16S ribosomal RNA, complete sequence",19
"gi|926663118|ref|NR_132712.1| Pseudoxanthomonas jiangsuensis strain wax 16S ribosomal RNA, partial sequence",19
"gi|2221405287|ref|NR_175457.1| Ramlibacter humi strain 18x22-1 16S ribosomal RNA, partial sequence",19
"gi|559795169|ref|NR_104758.1| Lachnospira multipara ATCC 19207 strain D32 16S ribosomal RNA, partial sequence",19
"gi|343201595|ref|NR_042321.1| Hoeflea alexandrii strain AM1V30 16S ribosomal RNA, partial sequence",19
"gi|343200570|ref|NR_041257.1| Methylophilus methylotrophus strain NCIMB 10515 16S ribosomal RNA, partial sequence",19
"gi|343200571|ref|NR_041258.1| Methylophilus leisingeri strain DSM 6813 16S ribosomal RNA, partial sequence",19
"gi|636559443|ref|NR_115502.1| [Ruminococcus] torques strain GIFU 12126 16S ribosomal RNA, partial sequence",18
"gi|310975058|ref|NR_036922.1| Enterococcus durans strain 98D 16S ribosomal RNA, partial sequence",18
"gi|2363084498|ref|NR_180497.1| Pseudomonas juntendi strain BML3 16S ribosomal RNA, partial sequence",18
"gi|645321783|ref|NR_118669.1| [Clostridium] herbivorans strain 54408 16S ribosomal RNA, partial sequence",18
"gi|636560179|ref|NR_116239.1| Methylophilus rhizosphaerae strain CBMB127 16S ribosomal RNA, partial sequence",18
"gi|2363085720|ref|NR_181112.1| Solimonas marina strain C16B3 16S ribosomal RNA, partial sequence",18
"gi|631252033|ref|NR_113231.1| Blautia glucerasea strain JCM 17039 16S ribosomal RNA, partial sequence",17
"gi|2363086300|ref|NR_181402.1| Blautia intestinalis strain 27-44 16S ribosomal RNA, partial sequence",17
"gi|645322242|ref|NR_119039.1| Aeromonas hydrophila strain ATCC 7966 16S ribosomal RNA, partial sequence",17
"gi|219857517|ref|NR_025105.1| Pseudoxanthomonas mexicana strain AMX 26B 16S ribosomal RNA, partial sequence",17
"gi|265678979|ref|NR_029287.1| Nitrospira moscoviensis strain NSP M-1 16S ribosomal RNA, partial sequence",16
"gi|1227086018|ref|NR_148573.1| Nitrospira lenta strain BS10 16S ribosomal RNA, partial sequence",16
"gi|636558538|ref|NR_114595.1| Pseudomonas tolaasii NCPPB 2192 16S ribosomal RNA, partial sequence",16
"gi|974142239|ref|NR_134759.1| Lysobacter caeni strain BUT-8 16S ribosomal RNA, partial sequence",16
"gi|645322302|ref|NR_119085.1| [Clostridium] polysaccharolyticum strain DSM 1801 16S ribosomal RNA, partial sequence",16
"gi|310975061|ref|NR_036925.1| Lysobacter enzymogenes strain 495 16S ribosomal RNA, partial sequence",16
