organism,count
"gi|672239082|ref|NR_125671.1| Undibacterium jejuense strain JS4-4 16S ribosomal RNA, partial sequence",43
"gi|2363086230|ref|NR_181367.1| Undibacterium umbellatum strain NL8W 16S ribosomal RNA, partial sequence",43
"gi|2136551676|ref|NR_173681.1| Rhabdothermincola sediminis strain SYSU G02662 16S ribosomal RNA, partial sequence",43
"gi|1137647857|ref|NR_145646.1| Falsiroseomonas wooponensis strain WW53 16S ribosomal RNA, partial sequence",42
"gi|1137647860|ref|NR_145649.1| Undibacterium aquatile strain THG-DN7.3 16S ribosomal RNA, partial sequence",42
"gi|343198441|ref|NR_041827.1| Bradyrhizobium denitrificans strain IFAM 1005 16S ribosomal RNA, partial sequence",42
"gi|566085546|ref|NR_109616.1| Nevskia aquatilis strain F2-63 16S ribosomal RNA, partial sequence",40
"gi|343200571|ref|NR_041258.1| Methylophilus leisingeri strain DSM 6813 16S ribosomal RNA, partial sequence",40
"gi|2363086220|ref|NR_181362.1| Undibacterium hunanense strain CY18W 16S ribosomal RNA, partial sequence",40
"gi|2180566443|ref|NR_174293.1| Bradyrhizobium niftali strain CNPSo 3448 16S ribosomal RNA, partial sequence",39
"gi|2363086210|ref|NR_181357.1| Pseudonocardia broussonetiae strain Gen 01 16S ribosomal RNA, complete sequence",38
"gi|1779814859|ref|NR_164934.1| Cupriavidus lacunae strain S23 16S ribosomal RNA, partial sequence",38
"gi|566085547|ref|NR_109617.1| Nevskia persephonica strain G6M-30 16S ribosomal RNA, partial sequence",38
"gi|2621112357|ref|NR_189261.1| Fontisphaera persica strain B-154 16S ribosomal RNA, complete sequence",38
"gi|343200890|ref|NR_041577.1| Stenotrophomonas maltophilia strain IAM 12423 16S ribosomal RNA, partial sequence",37
"gi|636559168|ref|NR_115225.1| Chthoniobacter flavus Ellin428 16S ribosomal RNA, partial sequence",37
"gi|961555263|ref|NR_134232.1| Caldimonas caldifontis strain YIM 78140 16S ribosomal RNA, partial sequence",36
"gi|343198675|ref|NR_043249.1| Denitratisoma oestradiolicum strain AcBE2-1 16S ribosomal RNA, partial sequence",35
"gi|636560787|ref|NR_116847.1| Methylophilus luteus strain Mim 16S ribosomal RNA, partial sequence",35
"gi|631253016|ref|NR_114214.1| Variovorax boronicumulans NBRC 103145 16S ribosomal RNA, partial sequence",35
"gi|848212582|ref|NR_132289.1| Aquihabitans daechungensis strain CH22-21 16S ribosomal RNA, partial sequence",35
"gi|1193829149|ref|NR_147392.1| Anaerococcus mediterraneensis strain Marseille-P2765 16S ribosomal RNA, partial sequence",35
"gi|2221405486|ref|NR_175547.1| Pseudonocardia acidicola strain K10HN5 16S ribosomal RNA, complete sequence",34
"gi|699005313|ref|NR_126182.1| Labilithrix luteola strain B00002 16S ribosomal RNA, partial sequence",34
"gi|2363085376|ref|NR_180936.1| Luteolibacter luteus strain G-1-1-1 16S ribosomal RNA, partial sequence",33
"gi|470466352|ref|NR_074116.1| Dehalococcoides mccartyi 195 16S ribosomal RNA, partial sequence",32
"gi|2962412244|ref|NR_199438.1| Cupriavidus phytorum strain MLR2-44 16S ribosomal RNA, complete sequence",32
"gi|974142226|ref|NR_134746.1| Hydrobacter penzbergensis strain EM 4 16S ribosomal RNA, partial sequence",32
"gi|1024974844|ref|NR_136827.1| Thermomonospora amylolytica strain YIM 77502 16S ribosomal RNA, partial sequence",32
"gi|219846313|ref|NR_025903.1| Gemella haemolysans strain ATCC 25563 16S ribosomal RNA, partial sequence",32
"gi|2363086588|ref|NR_181551.1| Novosphingobium aureum strain YJ-S2-02 16S ribosomal RNA, partial sequence",31
"gi|645322190|ref|NR_118996.1| Bacillus licheniformis strain DSM 13 16S ribosomal RNA, partial sequence",31
"gi|219846314|ref|NR_025904.1| Gemella morbillorum strain 2917B 16S ribosomal RNA, partial sequence",31
"gi|219846827|ref|NR_026419.1| Gemella sanguinis strain 2045-94 16S ribosomal RNA, partial sequence",31
"gi|343205939|ref|NR_044443.1| Sorangium cellulosum strain DSM 14627 16S ribosomal RNA, partial sequence",31
"gi|526641957|ref|NR_103954.1| Chthonomonas calidirosea T49 16S ribosomal RNA, partial sequence",30
"gi|636560618|ref|NR_116678.1| Sorangium cellulosum strain DSM 14627 16S ribosomal RNA, partial sequence",30
"gi|444439608|ref|NR_074923.1| Bacillus licheniformis strain ATCC 14580 16S ribosomal RNA, partial sequence",30
"gi|645320399|ref|NR_117613.1| Achromobacter mucicolens strain R-46658 16S ribosomal RNA, partial sequence",29
"gi|631251811|ref|NR_113009.1| Armatimonas rosea strain YO-36 16S ribosomal RNA, partial sequence",29
"gi|645320536|ref|NR_117719.1| Streptococcus oralis subsp. dentisani strain 7747 16S ribosomal RNA, partial sequence",29
"gi|1953646657|ref|NR_171483.1| Flavisolibacter nicotianae strain X7X 16S ribosomal RNA, partial sequence",29
"gi|2363086969|ref|NR_181741.1| Algiphilus acroporae strain NNCM1 16S ribosomal RNA, partial sequence",28
"gi|2363082990|ref|NR_179743.1| Solimonas fluminis strain HR-BB 16S ribosomal RNA, partial sequence",28
"gi|636559654|ref|NR_115714.1| Bacillus cereus strain CCM 2010 16S ribosomal RNA, partial sequence",28
"gi|645320063|ref|NR_117360.1| Segetibacter aerophilus strain 6424S-61 16S ribosomal RNA, partial sequence",28
"gi|219857550|ref|NR_025138.1| Cupriavidus basilensis strain DSM 11853 16S ribosomal RNA, partial sequence",28
"gi|507148088|ref|NR_102895.1| Prevotella melaninogenica ATCC 25845 16S ribosomal RNA, partial sequence",28
"gi|2363081288|ref|NR_178888.1| Arthrobacter deserti strain YIM CS25 16S ribosomal RNA, partial sequence",27
"gi|672238999|ref|NR_125588.1| Aeromicrobium massiliense JC14 16S ribosomal RNA, partial sequence",27
"gi|1227086130|ref|NR_148626.1| Neobacillus cucumis strain AP-6 16S ribosomal RNA, partial sequence",27
"gi|265678353|ref|NR_028655.1| Curvibacter gracilis strain 7-1 16S ribosomal RNA, partial sequence",26
"gi|343200212|ref|NR_040899.1| Herbaspirillum autotrophicum strain IAM 14942 16S ribosomal RNA, partial sequence",26
"gi|631253098|ref|NR_114296.1| Segetibacter aerophilus strain NBRC 106135 16S ribosomal RNA, partial sequence",26
"gi|343200813|ref|NR_041500.1| Flavisolibacter ginsengisoli strain Gsoil 643 16S ribosomal RNA, partial sequence",26
"gi|343200812|ref|NR_041499.1| Flavisolibacter ginsengiterrae strain Gsoil 492 16S ribosomal RNA, partial sequence",26
"gi|343201295|ref|NR_042021.1| Achromobacter denitrificans strain DSM 30026 16S ribosomal RNA, partial sequence",25
"gi|1270541310|ref|NR_074708.2| Gemmatimonas aurantiaca T-27 16S ribosomal RNA, partial sequence",25
"gi|444439489|ref|NR_074804.1| Cellvibrio japonicus strain Ueda107 16S ribosomal RNA, partial sequence",25
"gi|961555151|ref|NR_134120.1| Paludibaculum fermentans strain P105 16S ribosomal RNA, partial sequence",25
"gi|2363080896|ref|NR_178691.1| Parasegetibacter terrae strain SGM2-10 16S ribosomal RNA, partial sequence",25
"gi|631252887|ref|NR_114085.1| Neobacillus drentensis strain NBRC 102427 16S ribosomal RNA, partial sequence",25
"gi|2363085890|ref|NR_181197.1| Pseudomonas urethralis strain BML-PP042 16S ribosomal RNA, partial sequence",24
"gi|2363085888|ref|NR_181196.1| Pseudomonas ceruminis strain BML-PP028 16S ribosomal RNA, partial sequence",24
"gi|2363084224|ref|NR_180361.1| Sheuella amnicola strain NBD-18 16S ribosomal RNA, partial sequence",24
"gi|631251915|ref|NR_113113.1| Prevotella melaninogenica ATCC 25845 strain JCM 6325 16S ribosomal RNA, partial sequence",24
"gi|265678828|ref|NR_029133.1| Lactiplantibacillus pentosus strain 124-2 16S ribosomal RNA, partial sequence",24
"gi|1441204319|ref|NR_157734.1| Bacillus paramycoides strain MCCC 1A04098 16S ribosomal RNA, partial sequence",23
"gi|631251024|ref|NR_112221.1| Curvibacter fontanus strain AQ9 16S ribosomal RNA, partial sequence",23
"gi|631250882|ref|NR_112078.1| Brevundimonas vesicularis strain IAM 12105 16S ribosomal RNA, partial sequence",22
"gi|265678331|ref|NR_028633.1| Brevundimonas nasdae strain W1-2B 16S ribosomal RNA, partial sequence",22
"gi|265678532|ref|NR_028836.1| Cellvibrio japonicus strain Ueda107 16S ribosomal RNA, partial sequence",22
"gi|1811131606|ref|NR_165788.1| Lacisediminimonas profundi strain CHu64-6-4 16S ribosomal RNA, partial sequence",22
"gi|631250829|ref|NR_112025.1| Streptococcus cristatus ATCC 51100 strain NCTC 12479 16S ribosomal RNA, partial sequence",22
"gi|343198515|ref|NR_042771.1| Streptococcus cristatus ATCC 51100 16S ribosomal RNA, partial sequence",22
"gi|2363087279|ref|NR_181895.1| Rhabdothermincola salaria strain EGI L10124 16S ribosomal RNA, partial sequence",22
"gi|343205731|ref|NR_044135.1| Nevskia soli strain GR15-1 16S ribosomal RNA, partial sequence",22
"gi|265678697|ref|NR_029002.1| Neobacillus drentensis strain IDA1967 16S ribosomal RNA, partial sequence",22
"gi|1227086018|ref|NR_148573.1| Nitrospira lenta strain BS10 16S ribosomal RNA, partial sequence",21
"gi|631250893|ref|NR_112090.1| Novosphingobium aromaticivorans strain IFO 16084 16S ribosomal RNA, partial sequence",21
"gi|265679021|ref|NR_029329.1| Herbaspirillum seropedicae strain Z67 16S ribosomal RNA, partial sequence",21
"gi|2363080033|ref|NR_178233.1| Polaromonas ginsengisoli strain Gsoil 115 16S ribosomal RNA, partial sequence",21
"gi|219846367|ref|NR_025958.1| Polaromonas vacuolata strain 34-P 16S ribosomal RNA, partial sequence",21
"gi|1246951763|ref|NR_149767.1| Polaromonas eurypsychrophila strain B717-2 16S ribosomal RNA, partial sequence",21
"gi|228716557|ref|NR_027552.1| Bacillus subtilis strain DSM 10 16S ribosomal RNA, partial sequence",21
"gi|1024974697|ref|NR_136770.1| Gemmatimonas phototrophica strain AP64 16S ribosomal RNA, partial sequence",21
"gi|631253107|ref|NR_114305.1| Prevotella scopos JCM 17725 16S ribosomal RNA, partial sequence",21
"gi|1445136084|ref|NR_158124.1| Ramlibacter rhizophilus strain THG-YS3.2.7 16S ribosomal RNA, partial sequence",21
"gi|2363086886|ref|NR_181700.1| Collimonas humicola strain RLT1W51 16S ribosomal RNA, partial sequence",21
"gi|1679775917|ref|NR_163639.1| Veillonella infantium strain T11011-4 16S ribosomal RNA, partial sequence",21
"gi|265678979|ref|NR_029287.1| Nitrospira moscoviensis strain NSP M-1 16S ribosomal RNA, partial sequence",20
"gi|636559008|ref|NR_115065.1| Chthonomonas calidirosea T49 16S ribosomal RNA, partial sequence",20
"gi|1441204194|ref|NR_157609.1| Bacillus haynesii strain NRRL B-41327 16S ribosomal RNA, partial sequence",20
"gi|1779814848|ref|NR_164923.1| Flavitalea flava strain AN120636 16S ribosomal RNA, partial sequence",20
"gi|1246951800|ref|NR_149804.1| Bradyrhizobium centrosematis strain A9 16S ribosomal RNA, partial sequence",20
"gi|645322417|ref|NR_119170.1| Veillonella atypica strain KON 16S ribosomal RNA, partial sequence",20
"gi|636559297|ref|NR_115354.1| Veillonella atypica strain KON 16S ribosomal RNA, partial sequence",20
"gi|2363081214|ref|NR_178850.1| Burkholderia paludis strain MSh1 16S ribosomal RNA, partial sequence",19
"gi|559795174|ref|NR_104763.1| Rhodovibrio sodomensis strain DSI 16S ribosomal RNA, partial sequence",19
"gi|1441204314|ref|NR_157729.1| Bacillus albus strain MCCC 1A02146 16S ribosomal RNA, partial sequence >gi|1441204315|ref|NR_157730.1| Bacillus luti strain MCCC 1A00359 16S ribosomal RNA, partial sequence >gi|1441204317|ref|NR_157732.1| Bacillus nitratireducens strain MCCC 1A00732 16S ribosomal RNA, partial sequence >gi|1441204321|ref|NR_157736.1| Bacillus tropicus strain MCCC 1A01406 16S ribosomal RNA, partial sequence",19
"gi|1040567021|ref|NR_137370.1| Jatrophihabitans fulvus strain PB158 16S ribosomal RNA, partial sequence",19
"gi|2363081927|ref|NR_179209.1| Noviherbaspirillum aridicola strain NCCP-691 16S ribosomal RNA, partial sequence",19
"gi|2363081840|ref|NR_179166.1| Enterobacter quasiroggenkampii strain WCHECL1060 16S ribosomal RNA, partial sequence",19
"gi|1269235566|ref|NR_146667.2| Enterobacter mori strain YIM Hb-3 16S ribosomal RNA, partial sequence",19
"gi|2363085615|ref|NR_181060.1| Undibacterium crateris strain B2R-29 16S ribosomal RNA, partial sequence",19
"gi|926663118|ref|NR_132712.1| Pseudoxanthomonas jiangsuensis strain wax 16S ribosomal RNA, partial sequence",19
"gi|2363084571|ref|NR_180534.1| Acinetobacter rongchengensis strain WCHAc060115 16S ribosomal RNA, partial sequence",19
"gi|974142236|ref|NR_134756.1| Limisphaera ngatamarikiensis strain NGM72.4 16S ribosomal RNA, partial sequence",19
"gi|631253198|ref|NR_114396.1| Nitrospira japonica strain J1 16S ribosomal RNA, partial sequence",18
"gi|645320437|ref|NR_117644.1| Achromobacter pulmonis strain R-16442 16S ribosomal RNA, partial sequence",18
"gi|343200601|ref|NR_041288.1| Paraburkholderia ginsengisoli strain KMY03 16S ribosomal RNA, partial sequence",18
"gi|2363085784|ref|NR_181144.1| Sediminibacterium soli strain WSJ-3 16S ribosomal RNA, partial sequence",18
"gi|1909404487|ref|NR_170542.1| Pseudoduganella aquatica strain FT127W 16S ribosomal RNA, partial sequence",18
"gi|636560246|ref|NR_116306.1| Agrobacterium radiobacter strain UQM 1685 16S ribosomal RNA, partial sequence",18
"gi|636559456|ref|NR_115516.1| Agrobacterium tumefaciens strain NCPPB2437 16S ribosomal RNA, partial sequence",18
"gi|2363085669|ref|NR_181087.1| Agrobacterium leguminum strain MOPV5 16S ribosomal RNA, partial sequence",18
"gi|2363086884|ref|NR_181699.1| Collimonas silvisoli strain RXD178 16S ribosomal RNA, partial sequence",18
"gi|2221405427|ref|NR_175520.1| Massilia puerhi strain SJY3 16S ribosomal RNA, partial sequence",18
"gi|265678555|ref|NR_028859.1| Herbaspirillum lusitanum strain P6-12 16S ribosomal RNA, partial sequence",18
"gi|265678843|ref|NR_029148.1| Prevotella veroralis strain ATCC 33779 16S ribosomal RNA, partial sequence",18
"gi|1240411868|ref|NR_149199.1| Thermoactinomyces khenchelensis strain T36 16S ribosomal RNA, partial sequence",18
"gi|2221405322|ref|NR_175476.1| Thermoflavimicrobium daqui strain FBKL4.011 16S ribosomal RNA, partial sequence",18
"gi|636559695|ref|NR_115755.1| Gallionella capsiferriformans ES-2 16S ribosomal RNA, partial sequence",18
"gi|2260349447|ref|NR_176529.1| Pelagibaculum spongiae strain Hp12 16S ribosomal RNA, partial sequence",17
"gi|265678657|ref|NR_028962.1| Novosphingobium hassiacum strain W-51 16S ribosomal RNA, partial sequence",17
"gi|566085280|ref|NR_109152.1| Cupriavidus alkaliphilus strain ASC-732 16S ribosomal RNA, partial sequence",17
"gi|1679775923|ref|NR_163645.1| Roseisolibacter agri strain AW1220 16S ribosomal RNA, partial sequence",17
"gi|343201672|ref|NR_042398.1| Stigmatella erecta strain DSM 16858 16S ribosomal RNA, partial sequence",17
"gi|1441204347|ref|NR_157762.1| Serratia oryzae strain J11-6 16S ribosomal RNA, partial sequence",17
"gi|631252762|ref|NR_113960.1| Lactococcus lactis strain NBRC 100933 16S ribosomal RNA, partial sequence",17
"gi|2221405274|ref|NR_175455.1| Streptococcus downii 16S ribosomal RNA, partial sequence",17
"gi|2363086224|ref|NR_181364.1| Undibacterium griseum strain FT31W 16S ribosomal RNA, partial sequence",17
"gi|566085274|ref|NR_109135.1| Litchfieldia salsa strain A24 16S ribosomal RNA, partial sequence",17
"gi|2363084936|ref|NR_180716.1| Tepidiforma bonchosmolovskayae strain 3753O 16S ribosomal RNA, partial sequence",16
"gi|1953646554|ref|NR_171435.1| Zhongshania marina strain DSW25-10 16S ribosomal RNA, partial sequence",16
"gi|343200153|ref|NR_040840.1| Pelotomaculum thermopropionicum SI 16S ribosomal RNA, partial sequence",16
"gi|444304259|ref|NR_074685.1| Pelotomaculum thermopropionicum SI 16S ribosomal RNA, partial sequence",16
